Date,Product,Store,Price,Demand,Sales
2022-01-01,Product_1,Store_1,44.41,51,49
2022-01-01,Product_1,Store_2,75.73,56,41
2022-01-01,Product_1,Store_3,45.15,61,46
2022-01-01,Product_2,Store_1,74.92,72,60
2022-01-01,Product_2,Store_2,16.61,50,39
2022-01-01,Product_2,Store_3,51.24,68,55
2022-01-01,Product_3,Store_1,101.55,87,61
2022-01-01,Product_3,Store_2,37.87,68,49
2022-01-01,Product_3,Store_3,23.69,80,50
2022-01-01,Product_4,Store_1,21.42,65,48
2022-01-01,Product_4,Store_2,76.79,73,63
2022-01-01,Product_4,Store_3,65.25,68,50
2022-01-01,Product_5,Store_1,84.83,73,45
2022-01-01,Product_5,Store_2,24.91,85,80
2022-01-01,Product_5,Store_3,85.45,53,41
2022-01-02,Product_1,Store_1,86.44,66,43
2022-01-02,Product_1,Store_2,85.27,76,55
2022-01-02,Product_1,Store_3,41.65,47,47
2022-01-02,Product_2,Store_1,23.03,62,55
2022-01-02,Product_2,Store_2,70.24,83,53
2022-01-02,Product_2,Store_3,40.57,71,49
2022-01-02,Product_3,Store_1,44.08,57,53
2022-01-02,Product_3,Store_2,57.07,70,53
2022-01-02,Product_3,Store_3,92.31,74,62
2022-01-02,Product_4,Store_1,17.97,75,53
2022-01-02,Product_4,Store_2,30.07,81,69
2022-01-02,Product_4,Store_3,17.72,57,48
2022-01-02,Product_5,Store_1,62.75,57,41
2022-01-02,Product_5,Store_2,70.61,80,61
2022-01-02,Product_5,Store_3,36.12,90,74
2022-01-03,Product_1,Store_1,65.52,69,60
2022-01-03,Product_1,Store_2,37.36,60,55
2022-01-03,Product_1,Store_3,73.82,54,33
2022-01-03,Product_2,Store_1,12.0,63,29
2022-01-03,Product_2,Store_2,82.63,52,36
2022-01-03,Product_2,Store_3,17.11,58,47
2022-01-03,Product_3,Store_1,74.76,41,36
2022-01-03,Product_3,Store_2,24.76,55,47
2022-01-03,Product_3,Store_3,103.86,62,44
2022-01-03,Product_4,Store_1,81.24,58,46
2022-01-03,Product_4,Store_2,23.92,47,23
2022-01-03,Product_4,Store_3,66.36,68,41
2022-01-03,Product_5,Store_1,12.46,62,53
2022-01-03,Product_5,Store_2,60.84,48,29
2022-01-03,Product_5,Store_3,18.69,50,36
2022-01-04,Product_1,Store_1,73.82,68,49
2022-01-04,Product_1,Store_2,72.82,52,40
2022-01-04,Product_1,Store_3,77.99,59,45
2022-01-04,Product_2,Store_1,88.68,57,45
2022-01-04,Product_2,Store_2,41.15,50,27
2022-01-04,Product_2,Store_3,51.74,44,40
2022-01-04,Product_3,Store_1,18.62,63,48
2022-01-04,Product_3,Store_2,88.81,40,33
2022-01-04,Product_3,Store_3,86.98,40,24
2022-01-04,Product_4,Store_1,77.49,56,53
2022-01-04,Product_4,Store_2,96.75,43,37
2022-01-04,Product_4,Store_3,55.53,78,74
2022-01-04,Product_5,Store_1,63.84,51,42
2022-01-04,Product_5,Store_2,99.47,53,47
2022-01-04,Product_5,Store_3,46.52,66,61
2022-01-05,Product_1,Store_1,47.2,67,55
2022-01-05,Product_1,Store_2,97.99,53,53
2022-01-05,Product_1,Store_3,32.93,59,51
2022-01-05,Product_2,Store_1,79.78,65,62
2022-01-05,Product_2,Store_2,23.03,56,47
2022-01-05,Product_2,Store_3,51.14,55,42
2022-01-05,Product_3,Store_1,91.1,51,37
2022-01-05,Product_3,Store_2,30.13,51,50
2022-01-05,Product_3,Store_3,68.41,35,24
2022-01-05,Product_4,Store_1,17.05,48,38
2022-01-05,Product_4,Store_2,14.35,45,45
2022-01-05,Product_4,Store_3,36.24,52,39
2022-01-05,Product_5,Store_1,58.45,59,42
2022-01-05,Product_5,Store_2,95.64,60,49
2022-01-05,Product_5,Store_3,34.15,51,37
2022-01-06,Product_1,Store_1,94.12,75,47
2022-01-06,Product_1,Store_2,67.78,45,33
2022-01-06,Product_1,Store_3,63.1,38,26
2022-01-06,Product_2,Store_1,26.06,64,52
2022-01-06,Product_2,Store_2,93.95,63,43
2022-01-06,Product_2,Store_3,101.23,62,42
2022-01-06,Product_3,Store_1,48.41,38,27
2022-01-06,Product_3,Store_2,21.97,49,31
2022-01-06,Product_3,Store_3,96.24,56,50
2022-01-06,Product_4,Store_1,49.73,59,59
2022-01-06,Product_4,Store_2,75.19,59,40
2022-01-06,Product_4,Store_3,26.07,60,57
2022-01-06,Product_5,Store_1,79.29,44,40
2022-01-06,Product_5,Store_2,32.17,57,48
2022-01-06,Product_5,Store_3,99.99,40,34
2022-01-07,Product_1,Store_1,92.28,50,45
2022-01-07,Product_1,Store_2,62.31,56,35
2022-01-07,Product_1,Store_3,21.0,53,47
2022-01-07,Product_2,Store_1,74.06,52,35
2022-01-07,Product_2,Store_2,55.24,68,56
2022-01-07,Product_2,Store_3,67.39,62,51
2022-01-07,Product_3,Store_1,48.41,73,67
2022-01-07,Product_3,Store_2,97.96,60,33
2022-01-07,Product_3,Store_3,72.71,77,58
2022-01-07,Product_4,Store_1,46.89,45,36
2022-01-07,Product_4,Store_2,83.82,67,57
2022-01-07,Product_4,Store_3,91.16,55,38
2022-01-07,Product_5,Store_1,26.89,70,55
